"internal_taxon_name","GL_estimate","Source"
"Gonatodes antillensis",2.2,"Mancini et al. (2025, Ecography)"
"Gonatodes astralis",2.2,"Mancini et al. (2025, Ecography)"
"Gonatodes ceciliae",2.8,"Mancini et al. (2025, Ecography)"
"Gonatodes eladioi",1.8,"Mancini et al. (2025, Ecography)"
"Gonatodes falconensis",2.7,"Mancini et al. (2025, Ecography)"
"Gonatodes infernalis",2.7,"Mancini et al. (2025, Ecography)"
"Gonatodes lichenosus",2.3,"Mancini et al. (2025, Ecography)"
"Gonatodes ligiae",2,"Mancini et al. (2025, Ecography)"
"Gonatodes nascimentoi",2.5,"Mancini et al. (2025, Ecography)"
"Gonatodes naufragus",1.7,"Mancini et al. (2025, Ecography)"
"Gonatodes ocellatus",2.7,"Mancini et al. (2025, Ecography)"
"Gonatodes petersi",2.1,"Mancini et al. (2025, Ecography)"
"Gonatodes purpurogularis",2.3,"Mancini et al. (2025, Ecography)"
"Gonatodes rozei",2.6,"Mancini et al. (2025, Ecography)"
"Gonatodes superciliaris",2.3,"Mancini et al. (2025, Ecography)"
"Gonatodes taniae",2.5,"Mancini et al. (2025, Ecography)"
"Gonatodes tapajonicus",2.5,"Mancini et al. (2025, Ecography)"
"Drymarchon margaritae",7.4,"Mancini et al. (2025, Ecography)"
"Anolis anatoloros",2.6,"Mancini et al. (2025, Ecography)"
"Anolis annectens",2.5,"Mancini et al. (2025, Ecography)"
"Anolis bellipeniculus",2.9,"Mancini et al. (2025, Ecography)"
"Anolis blanquillanus",3.3,"Mancini et al. (2025, Ecography)"
"Anolis bonairensis",3.1,"Mancini et al. (2025, Ecography)"
"Anolis carlostoddi",2.6,"Mancini et al. (2025, Ecography)"
"Anolis deltae",2.2,"Mancini et al. (2025, Ecography)"
"Anolis euskalerriari",2.2,"Mancini et al. (2025, Ecography)"
"Anolis neblininus",3,"Mancini et al. (2025, Ecography)"
"Anolis squamulatus",3.7,"Mancini et al. (2025, Ecography)"
"Anolis tetarii",3.6,"Mancini et al. (2025, Ecography)"
"Anolis tigrinus",2.1,"Mancini et al. (2025, Ecography)"
"Atractus acheronius",4.4,"Mancini et al. (2025, Ecography)"
"Atractus eriki",3.4,"Mancini et al. (2025, Ecography)"
"Atractus fuliginosus",7.7,"Mancini et al. (2025, Ecography)"
"Atractus insipidus",2.6,"Mancini et al. (2025, Ecography)"
"Atractus lancinii",4,"Mancini et al. (2025, Ecography)"
"Atractus mariselae",4,"Mancini et al. (2025, Ecography)"
"Atractus matthewi",3.7,"Mancini et al. (2025, Ecography)"
"Atractus meridensis",5.2,"Mancini et al. (2025, Ecography)"
"Atractus micheleae",3.6,"Mancini et al. (2025, Ecography)"
"Atractus mijaresi",4.6,"Mancini et al. (2025, Ecography)"
"Atractus multidentatus",2.4,"Mancini et al. (2025, Ecography)"
"Atractus ochrosetrus",3.7,"Mancini et al. (2025, Ecography)"
"Atractus riveroi",4,"Mancini et al. (2025, Ecography)"
"Atractus tamaensis",4.8,"Mancini et al. (2025, Ecography)"
"Atractus taphorni",4.9,"Mancini et al. (2025, Ecography)"
"Atractus turikensis",4.3,"Mancini et al. (2025, Ecography)"
"Atractus ventrimaculatus",5.2,"Mancini et al. (2025, Ecography)"
"Atractus vittatus",4.4,"Mancini et al. (2025, Ecography)"
"Pseudoeryx relictualis",4.3,"Mancini et al. (2025, Ecography)"
"Adercosaurus vixadnexus",2.5,"Mancini et al. (2025, Ecography)"
"Gymnophthalmus cryptus",1.2,"Mancini et al. (2025, Ecography)"
"Gymnophthalmus leucomystax",1.8,"Mancini et al. (2025, Ecography)"
"Riolama leucosticta",2,"Mancini et al. (2025, Ecography)"
"Riolama luridiventris",2,"Mancini et al. (2025, Ecography)"
"Riolama uzzelli",2.3,"Mancini et al. (2025, Ecography)"
"Amerotyphlops lehneri",2.1,"Mancini et al. (2025, Ecography)"
"Lampropeltis knoblochi",6.7,"Mancini et al. (2025, Ecography)"
"Lampropeltis pyromelana",9.3,"Mancini et al. (2025, Ecography)"
"Riama yumborum",2.5,"Mancini et al. (2025, Ecography)"
"Liolaemus yatel",4.6,"Mancini et al. (2025, Ecography)"
"Atractus emigdioi",4.3,"Mancini et al. (2025, Ecography)"
"Chironius spixii",6.5,"Mancini et al. (2025, Ecography)"
"Liolaemus chungara",4.5,"Mancini et al. (2025, Ecography)"
"Liolaemus ubaghsi",8,"Mancini et al. (2025, Ecography)"
"Phymaturus aguedae",8.4,"Mancini et al. (2025, Ecography)"
"Anolis conspersus",3.5,"Mancini et al. (2025, Ecography)"
"Chilabothrus strigilatus",9.4,"Mancini et al. (2025, Ecography)"
"Leptophis coeruleodorsus",5.5,"Mancini et al. (2025, Ecography)"
"Anolis acutus",2.7,"Mancini et al. (2025, Ecography)"
"Anolis agueroi",4.8,"Mancini et al. (2025, Ecography)"
"Anolis alayoni",2.2,"Mancini et al. (2025, Ecography)"
"Anolis alfaroi",1.9,"Mancini et al. (2025, Ecography)"
"Anolis aliniger",2.9,"Mancini et al. (2025, Ecography)"
"Anolis altavelensis",2.1,"Mancini et al. (2025, Ecography)"
"Anolis altitudinalis",2.5,"Mancini et al. (2025, Ecography)"
"Anolis anfiloquioi",2,"Mancini et al. (2025, Ecography)"
"Anolis angusticeps",2.5,"Mancini et al. (2025, Ecography)"
"Anolis argenteolus",2.8,"Mancini et al. (2025, Ecography)"
"Anolis bahorucoensis",2.4,"Mancini et al. (2025, Ecography)"
"Anolis baleatus",5.3,"Mancini et al. (2025, Ecography)"
"Anolis barahonae",5.1,"Mancini et al. (2025, Ecography)"
"Anolis barbatus",5.4,"Mancini et al. (2025, Ecography)"
"Anolis barbouri",2.6,"Mancini et al. (2025, Ecography)"
"Anolis birama",2.7,"Mancini et al. (2025, Ecography)"
"Anolis bremeri",3.1,"Mancini et al. (2025, Ecography)"
"Anolis breslini",2.7,"Mancini et al. (2025, Ecography)"
"Anolis brevirostris",2.4,"Mancini et al. (2025, Ecography)"
"Anolis brunneus",3.1,"Mancini et al. (2025, Ecography)"
"Anolis caudalis",2.3,"Mancini et al. (2025, Ecography)"
"Anolis chamaeleonides",5.4,"Mancini et al. (2025, Ecography)"
"Anolis christophei",2.4,"Mancini et al. (2025, Ecography)"
"Anolis chrysops",2.8,"Mancini et al. (2025, Ecography)"
"Anolis confusus",2.3,"Mancini et al. (2025, Ecography)"
"Anolis cooki",2.8,"Mancini et al. (2025, Ecography)"
"Anolis cupeyalensis",1.8,"Mancini et al. (2025, Ecography)"
"Anolis cuvieri",4.6,"Mancini et al. (2025, Ecography)"
"Anolis cybotes",3.1,"Mancini et al. (2025, Ecography)"
"Anolis darlingtoni",3.5,"Mancini et al. (2025, Ecography)"
"Anolis delafuentei",2.8,"Mancini et al. (2025, Ecography)"
"Anolis desechensis",2.4,"Mancini et al. (2025, Ecography)"
"Anolis desiradei",3,"Mancini et al. (2025, Ecography)"
"Anolis dolichocephalus",2.4,"Mancini et al. (2025, Ecography)"
"Anolis etheridgei",2.4,"Mancini et al. (2025, Ecography)"
"Anolis eugenegrahami",3.1,"Mancini et al. (2025, Ecography)"
"Anolis evermanni",3.1,"Mancini et al. (2025, Ecography)"
"Anolis fairchildi",3.2,"Mancini et al. (2025, Ecography)"
"Anolis ferreus",4,"Mancini et al. (2025, Ecography)"
"Anolis fowleri",3.7,"Mancini et al. (2025, Ecography)"
"Anolis fugitivus",1.9,"Mancini et al. (2025, Ecography)"
"Anolis gingivinus",2.9,"Mancini et al. (2025, Ecography)"
"Anolis griseus",4.6,"Mancini et al. (2025, Ecography)"
"Anolis hendersoni",2.3,"Mancini et al. (2025, Ecography)"
"Anolis homolechis",2.9,"Mancini et al. (2025, Ecography)"
"Anolis imias",2.8,"Mancini et al. (2025, Ecography)"
"Anolis incredulus",1.8,"Mancini et al. (2025, Ecography)"
"Anolis inexpectatus",1.9,"Mancini et al. (2025, Ecography)"
"Anolis insolitus",2.7,"Mancini et al. (2025, Ecography)"
"Anolis isolepis",2.4,"Mancini et al. (2025, Ecography)"
"Anolis jubar",2.7,"Mancini et al. (2025, Ecography)"
"Anolis kahouannensis",2.9,"Mancini et al. (2025, Ecography)"
"Anolis krugi",2.4,"Mancini et al. (2025, Ecography)"
"Anolis litoralis",2.3,"Mancini et al. (2025, Ecography)"
"Anolis lividus",2.9,"Mancini et al. (2025, Ecography)"
"Anolis longitibialis",2.9,"Mancini et al. (2025, Ecography)"
"Anolis loysiana",2.4,"Mancini et al. (2025, Ecography)"
"Anolis lucius",3,"Mancini et al. (2025, Ecography)"
"Anolis luteogularis",5.1,"Mancini et al. (2025, Ecography)"
"Anolis macilentus",2.1,"Mancini et al. (2025, Ecography)"
"Anolis marcanoi",2.8,"Mancini et al. (2025, Ecography)"
"Anolis marmoratus",3.2,"Mancini et al. (2025, Ecography)"
"Anolis monensis",2.5,"Mancini et al. (2025, Ecography)"
"Anolis noblei",5.6,"Mancini et al. (2025, Ecography)"
"Anolis opalinus",2.4,"Mancini et al. (2025, Ecography)"
"Anolis ophiolepis",2,"Mancini et al. (2025, Ecography)"
"Anolis oporinus",2.3,"Mancini et al. (2025, Ecography)"
"Anolis paternus",2.4,"Mancini et al. (2025, Ecography)"
"Anolis pigmaequestris",4.7,"Mancini et al. (2025, Ecography)"
"Anolis placidus",2.5,"Mancini et al. (2025, Ecography)"
"Anolis poncensis",2.1,"Mancini et al. (2025, Ecography)"
"Anolis porcus",5.2,"Mancini et al. (2025, Ecography)"
"Anolis pulchellus",2.3,"Mancini et al. (2025, Ecography)"
"Anolis pumilus",2,"Mancini et al. (2025, Ecography)"
"Anolis quadriocellifer",2.5,"Mancini et al. (2025, Ecography)"
"Anolis reconditus",3.8,"Mancini et al. (2025, Ecography)"
"Anolis rejectus",1.8,"Mancini et al. (2025, Ecography)"
"Anolis ricordii",5.4,"Mancini et al. (2025, Ecography)"
"Anolis rimarum",2.3,"Mancini et al. (2025, Ecography)"
"Anolis ruibali",1.8,"Mancini et al. (2025, Ecography)"
"Anolis rupinae",2.7,"Mancini et al. (2025, Ecography)"
"Anolis sabanus",3.3,"Mancini et al. (2025, Ecography)"
"Anolis schwartzi",2.2,"Mancini et al. (2025, Ecography)"
"Anolis scriptus",3,"Mancini et al. (2025, Ecography)"
"Anolis sheplani",2,"Mancini et al. (2025, Ecography)"
"Anolis shrevei",3.3,"Mancini et al. (2025, Ecography)"
"Anolis singularis",2.5,"Mancini et al. (2025, Ecography)"
"Anolis smallwoodi",5.2,"Mancini et al. (2025, Ecography)"
"Anolis stratulus",2.1,"Mancini et al. (2025, Ecography)"
"Anolis vanidicus",2,"Mancini et al. (2025, Ecography)"
"Anolis vermiculatus",4.7,"Mancini et al. (2025, Ecography)"
"Anolis vescus",2.1,"Mancini et al. (2025, Ecography)"
"Anolis saxatilis",2.8,"Mancini et al. (2025, Ecography)"
"Anolis bartschi",3.4,"Mancini et al. (2025, Ecography)"
"Anolis brasiliensis",2.5,"Mancini et al. (2025, Ecography)"
"Anolis garridoi",2.2,"Mancini et al. (2025, Ecography)"
"Anolis guamuhaya",5.2,"Mancini et al. (2025, Ecography)"
"Anolis guazuma",2.3,"Mancini et al. (2025, Ecography)"
"Anolis nasofrontalis",2.1,"Mancini et al. (2025, Ecography)"
"Anolis phyllorhinus",2.8,"Mancini et al. (2025, Ecography)"
"Anolis poei",2.5,"Mancini et al. (2025, Ecography)"
"Anolis pseudotigrinus",2.2,"Mancini et al. (2025, Ecography)"
"Anolis rubribarbus",2.8,"Mancini et al. (2025, Ecography)"
"Anolis sierramaestrae",5,"Mancini et al. (2025, Ecography)"
"Anolis terraealtae",3,"Mancini et al. (2025, Ecography)"
"Anolis terueli",2,"Mancini et al. (2025, Ecography)"
"Anolis toldo",2.9,"Mancini et al. (2025, Ecography)"
"Anolis websteri",2.3,"Mancini et al. (2025, Ecography)"
"Dipsas trinitatis",5.8,"Mancini et al. (2025, Ecography)"
"Mitophis asbolepis",2.4,"Mancini et al. (2025, Ecography)"
"Mitophis calypso",2.6,"Mancini et al. (2025, Ecography)"
"Mitophis pyrites",2.4,"Mancini et al. (2025, Ecography)"
"Thecadactylus oskrobapreinorum",4.7,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus altavelensis",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus argivus",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus armstrongi",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus asterulus",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus beattyi",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus becki",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus caicosensis",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus celicara",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus cinereus",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus clenchi",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus cochranae",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus copei",2.5,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus cricoderus",1.8,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus darlingtoni",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus dimorphicus",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus docimus",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus elegans",2.5,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus elegantulus",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus epiurus",1.7,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus fantasticus",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus gaigeae",1.7,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus inaguae",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus intermedius",2.4,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus ladae",1.8,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus lazelli",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus leucaster",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus levinsi",1.8,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus macrolepis",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus mariguanae",2.5,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus microlepis",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus nigropunctatus",2.5,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus ocoae",2.3,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus parkeri",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus ramsdeni",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus randi",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus rhabdotus",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus ruibali",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus sabanus",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus samanensis",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus schuberti",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus semasiops",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus shrevei",2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus siboney",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus sommeri",2.2,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus sputator",2.4,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus townsendi",1.9,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus underwoodi",2.1,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus zygaena",2.1,"Mancini et al. (2025, Ecography)"
"Amerotyphlops paucisquamus",1.8,"Mancini et al. (2025, Ecography)"
"Amerotyphlops trinitatus",3.2,"Mancini et al. (2025, Ecography)"
"Typhlops agoralionis",2.8,"Mancini et al. (2025, Ecography)"
"Cubatyphlops anchaurus",3.3,"Mancini et al. (2025, Ecography)"
"Cubatyphlops anousius",2.8,"Mancini et al. (2025, Ecography)"
"Cubatyphlops arator",5.9,"Mancini et al. (2025, Ecography)"
"Antillotyphlops catapontus",4,"Mancini et al. (2025, Ecography)"
"Cubatyphlops caymanensis",3.5,"Mancini et al. (2025, Ecography)"
"Cubatyphlops contorhinus",4.2,"Mancini et al. (2025, Ecography)"
"Antillotyphlops dominicanus",4.8,"Mancini et al. (2025, Ecography)"
"Cubatyphlops epactius",4.1,"Mancini et al. (2025, Ecography)"
"Typhlops eperopeus",3.8,"Mancini et al. (2025, Ecography)"
"Antillotyphlops geotomus",3.2,"Mancini et al. (2025, Ecography)"
"Cubatyphlops golyathi",5,"Mancini et al. (2025, Ecography)"
"Typhlops gonavensis",3,"Mancini et al. (2025, Ecography)"
"Antillotyphlops granti",2.8,"Mancini et al. (2025, Ecography)"
"Antillotyphlops guadeloupensis",2.3,"Mancini et al. (2025, Ecography)"
"Typhlops leptolepis",3.2,"Mancini et al. (2025, Ecography)"
"Typhlops lumbricalis",3.7,"Mancini et al. (2025, Ecography)"
"Antillotyphlops monastus",3.5,"Mancini et al. (2025, Ecography)"
"Antillotyphlops naugus",3.3,"Mancini et al. (2025, Ecography)"
"Cubatyphlops notorachius",4.1,"Mancini et al. (2025, Ecography)"
"Typhlops oxyrhinus",3.6,"Mancini et al. (2025, Ecography)"
"Typhlops pachyrhinus",3.3,"Mancini et al. (2025, Ecography)"
"Cubatyphlops paradoxus",4.2,"Mancini et al. (2025, Ecography)"
"Cubatyphlops perimychus",3.8,"Mancini et al. (2025, Ecography)"
"Antillotyphlops platycephalus",4.4,"Mancini et al. (2025, Ecography)"
"Typhlops proancylops",3.4,"Mancini et al. (2025, Ecography)"
"Typhlops pusillus",3.2,"Mancini et al. (2025, Ecography)"
"Antillotyphlops richardii",4.3,"Mancini et al. (2025, Ecography)"
"Typhlops rostellatus",3.1,"Mancini et al. (2025, Ecography)"
"Cubatyphlops satelles",4.7,"Mancini et al. (2025, Ecography)"
"Typhlops schwartzi",4.5,"Mancini et al. (2025, Ecography)"
"Typhlops silus",2.6,"Mancini et al. (2025, Ecography)"
"Typhlops sylleptor",3.1,"Mancini et al. (2025, Ecography)"
"Typhlops tetrathyreus",3.7,"Mancini et al. (2025, Ecography)"
"Typhlops titanops",3,"Mancini et al. (2025, Ecography)"
"Chelosania brunnea",4.1,"Mancini et al. (2025, Ecography)"
"Ctenophorus rufescens",4.4,"Mancini et al. (2025, Ecography)"
"Ctenophorus adelaidensis",2.8,"Mancini et al. (2025, Ecography)"
"Ctenophorus butlerorum",2.2,"Mancini et al. (2025, Ecography)"
"Ctenophorus chapmani",2.9,"Mancini et al. (2025, Ecography)"
"Ctenophorus clayi",2.9,"Mancini et al. (2025, Ecography)"
"Ctenophorus cristatus",4.9,"Mancini et al. (2025, Ecography)"
"Ctenophorus decresii",4.1,"Mancini et al. (2025, Ecography)"
"Ctenophorus femoralis",2.8,"Mancini et al. (2025, Ecography)"
"Ctenophorus fionni",4.1,"Mancini et al. (2025, Ecography)"
"Ctenophorus gibba",4.3,"Mancini et al. (2025, Ecography)"
"Ctenophorus maculatus",3.4,"Mancini et al. (2025, Ecography)"
"Ctenophorus mckenziei",3.8,"Mancini et al. (2025, Ecography)"
"Ctenophorus mirrityana",4.4,"Mancini et al. (2025, Ecography)"
"Ctenophorus nguyarna",3.5,"Mancini et al. (2025, Ecography)"
"Ctenophorus parviceps",2.6,"Mancini et al. (2025, Ecography)"
"Ctenophorus pictus",3.6,"Mancini et al. (2025, Ecography)"
"Ctenophorus reticulatus",4.5,"Mancini et al. (2025, Ecography)"
"Ctenophorus salinarum",3.8,"Mancini et al. (2025, Ecography)"
"Ctenophorus scutulatus",4.7,"Mancini et al. (2025, Ecography)"
"Ctenophorus vadnappa",4.3,"Mancini et al. (2025, Ecography)"
"Diporiphora adductus",3.2,"Mancini et al. (2025, Ecography)"
"Diporiphora ameliae",3.2,"Mancini et al. (2025, Ecography)"
"Diporiphora amphiboluroides",4.1,"Mancini et al. (2025, Ecography)"
"Diporiphora paraconvergens",3,"Mancini et al. (2025, Ecography)"
"Diporiphora vescus",2.9,"Mancini et al. (2025, Ecography)"
"Pogona henrylawsoni",5.3,"Mancini et al. (2025, Ecography)"
"Pogona microlepidota",5.2,"Mancini et al. (2025, Ecography)"
"Pogona nullarbor",5.5,"Mancini et al. (2025, Ecography)"
"Tympanocryptis cephalus",2.9,"Mancini et al. (2025, Ecography)"
"Tympanocryptis houstoni",3.5,"Mancini et al. (2025, Ecography)"
"Tympanocryptis intima",3,"Mancini et al. (2025, Ecography)"
"Tympanocryptis tetraporophora",3.5,"Mancini et al. (2025, Ecography)"
"Liasis mackloti",9.6,"Mancini et al. (2025, Ecography)"
"Liasis olivaceus",11.4,"Mancini et al. (2025, Ecography)"
"Varanus auffenbergi",5.4,"Mancini et al. (2025, Ecography)"
"Varanus bangonorum",7.7,"Mancini et al. (2025, Ecography)"
"Varanus baritji",5.7,"Mancini et al. (2025, Ecography)"
"Varanus brevicauda",4.3,"Mancini et al. (2025, Ecography)"
"Varanus bushi",5,"Mancini et al. (2025, Ecography)"
"Varanus caerulivirens",7.6,"Mancini et al. (2025, Ecography)"
"Varanus dalubhasa",8.8,"Mancini et al. (2025, Ecography)"
"Varanus eremius",5.9,"Mancini et al. (2025, Ecography)"
"Varanus gilleni",5.1,"Mancini et al. (2025, Ecography)"
"Varanus glebopalma",7.6,"Mancini et al. (2025, Ecography)"
"Varanus hamersleyensis",5,"Mancini et al. (2025, Ecography)"
"Varanus keithhornei",5.9,"Mancini et al. (2025, Ecography)"
"Varanus lirungensis",7.6,"Mancini et al. (2025, Ecography)"
"Varanus obor",7.8,"Mancini et al. (2025, Ecography)"
"Varanus pilbarensis",5.4,"Mancini et al. (2025, Ecography)"
"Varanus rainerguentheri",6.5,"Mancini et al. (2025, Ecography)"
"Varanus rudicollis",7.2,"Mancini et al. (2025, Ecography)"
"Varanus semiremex",6.3,"Mancini et al. (2025, Ecography)"
"Varanus spenceri",10,"Mancini et al. (2025, Ecography)"
"Varanus storri",4.3,"Mancini et al. (2025, Ecography)"
"Gloydius himalayanus",14.4,"Mancini et al. (2025, Ecography)"
"Gloydius tsushimaensis",9.6,"Mancini et al. (2025, Ecography)"
"Atractus savagei",4.7,"Mancini et al. (2025, Ecography)"
"Incaspis amaru",8.3,"Mancini et al. (2025, Ecography)"
"Siphlophis ayauma",6.6,"Mancini et al. (2025, Ecography)"
"Pholidobolus hillisi",2.7,"Mancini et al. (2025, Ecography)"
"Gelanesaurus flavogularis",4,"Mancini et al. (2025, Ecography)"
"Phrynosoma goodei",3.9,"Mancini et al. (2025, Ecography)"
"Contia longicauda",7.1,"Mancini et al. (2025, Ecography)"
"Contia tenuis",7,"Mancini et al. (2025, Ecography)"
"Hypsiglena chlorophaea",7,"Mancini et al. (2025, Ecography)"
"Hypsiglena jani",6.7,"Mancini et al. (2025, Ecography)"
"Lampropeltis abnorma",6.6,"Mancini et al. (2025, Ecography)"
"Lampropeltis annulata",6.6,"Mancini et al. (2025, Ecography)"
"Lampropeltis polyzona",7.3,"Mancini et al. (2025, Ecography)"
"Lampropeltis zonata",10,"Mancini et al. (2025, Ecography)"
"Pantherophis vulpinus",11,"Mancini et al. (2025, Ecography)"
"Lichanura trivirgata",8,"Mancini et al. (2025, Ecography)"
"Lichanura orcutti",7.7,"Mancini et al. (2025, Ecography)"
"Trachylepis ozorii",4.1,"Mancini et al. (2025, Ecography)"
"Atractus altagratiae",3.2,"Mancini et al. (2025, Ecography)"
"Atractus edioi",3.5,"Mancini et al. (2025, Ecography)"
"Atractus hoogmoedi",2.6,"Mancini et al. (2025, Ecography)"
"Atractus pantostictus",4.6,"Mancini et al. (2025, Ecography)"
"Atractus spinalis",3.8,"Mancini et al. (2025, Ecography)"
"Atractus surucucu",3.6,"Mancini et al. (2025, Ecography)"
"Chironius foveatus",8.3,"Mancini et al. (2025, Ecography)"
"Gomesophis brasiliensis",4.2,"Mancini et al. (2025, Ecography)"
"Helicops apiaka",4.8,"Mancini et al. (2025, Ecography)"
"Micrurus potyguara",4.4,"Mancini et al. (2025, Ecography)"
"Trilepida jani",2.8,"Mancini et al. (2025, Ecography)"
"Ateuchosaurus pellopleurus",4.4,"Mancini et al. (2025, Ecography)"
"Ateuchosaurus chinensis",5.2,"Mancini et al. (2025, Ecography)"
"Ptyas herminae",6.8,"Mancini et al. (2025, Ecography)"
"Ptyas semicarinatus",7,"Mancini et al. (2025, Ecography)"
"Gekko shibatai",4.3,"Mancini et al. (2025, Ecography)"
"Gekko vertebralis",4.2,"Mancini et al. (2025, Ecography)"
"Gekko yakuensis",4.6,"Mancini et al. (2025, Ecography)"
"Hebius concelarus",6.6,"Mancini et al. (2025, Ecography)"
"Hebius ishigakiensis",7.2,"Mancini et al. (2025, Ecography)"
"Hebius pryeri",8.3,"Mancini et al. (2025, Ecography)"
"Hebius celebicus",3.6,"Mancini et al. (2025, Ecography)"
"Hebius sarasinorum",4.2,"Mancini et al. (2025, Ecography)"
"Diploderma polygonatum",4.3,"Mancini et al. (2025, Ecography)"
"Ovophis okinavensis",9.5,"Mancini et al. (2025, Ecography)"
"Plestiodon elegans",6,"Mancini et al. (2025, Ecography)"
"Plestiodon finitimus",7.8,"Mancini et al. (2025, Ecography)"
"Plestiodon japonicus",7,"Mancini et al. (2025, Ecography)"
"Plestiodon kuchinoshimensis",5.5,"Mancini et al. (2025, Ecography)"
"Plestiodon latiscutatus",7.3,"Mancini et al. (2025, Ecography)"
"Plestiodon marginatus",5.6,"Mancini et al. (2025, Ecography)"
"Plestiodon oshimensis",5.9,"Mancini et al. (2025, Ecography)"
"Plestiodon stimpsonii",4.6,"Mancini et al. (2025, Ecography)"
"Protobothrops elegans",11.3,"Mancini et al. (2025, Ecography)"
"Protobothrops flavoviridis",14.8,"Mancini et al. (2025, Ecography)"
"Protobothrops tokarensis",13.1,"Mancini et al. (2025, Ecography)"
"Scincella boettgeri",3.5,"Mancini et al. (2025, Ecography)"
"Takydromus dorsalis",3.7,"Mancini et al. (2025, Ecography)"
"Cnemaspis psychedelica",3.4,"Mancini et al. (2025, Ecography)"
"Goniurosaurus liboensis",5.7,"Mancini et al. (2025, Ecography)"
"Goniurosaurus zhelongi",4.8,"Mancini et al. (2025, Ecography)"
"Liolaemus stolzmanni",3.4,"Mancini et al. (2025, Ecography)"
"Acanthosaura armata",3.7,"Mancini et al. (2025, Ecography)"
"Acanthosaura bintangensis",4.1,"Mancini et al. (2025, Ecography)"
"Acanthosaura brachypoda",5.3,"Mancini et al. (2025, Ecography)"
"Acanthosaura cardamomensis",4.1,"Mancini et al. (2025, Ecography)"
"Acanthosaura coronata",4.1,"Mancini et al. (2025, Ecography)"
"Acanthosaura crucigera",4.2,"Mancini et al. (2025, Ecography)"
"Acanthosaura nataliae",4.8,"Mancini et al. (2025, Ecography)"
"Acanthosaura titiwangsaensis",5.6,"Mancini et al. (2025, Ecography)"
"Aphaniotis acutirostris",3,"Mancini et al. (2025, Ecography)"
"Aphaniotis ornata",2.5,"Mancini et al. (2025, Ecography)"
"Bronchocela celebensis",4.2,"Mancini et al. (2025, Ecography)"
"Bronchocela hayeki",4.3,"Mancini et al. (2025, Ecography)"
"Bronchocela orlovi",3.9,"Mancini et al. (2025, Ecography)"
"Bronchocela vietnamensis",3.9,"Mancini et al. (2025, Ecography)"
"Calotes emma",4.3,"Mancini et al. (2025, Ecography)"
"Complicitus nigrigularis",3.1,"Mancini et al. (2025, Ecography)"
"Draco blanfordii",3.3,"Mancini et al. (2025, Ecography)"
"Draco cristatellus",2.6,"Mancini et al. (2025, Ecography)"
